original_filename,new_filename,folder_name,distance,duration_hours,total_ascent,total_descent,abs_ascent_descent_diff,end_date,interval_time,passed_waypoint_taguan_mountain_peak,check_tfidf_塔關山,check_tfidf_南橫三星,check_tfidf_關山嶺山,cluster,pca_1,pca_2,pca_3,original_filename_orig,folder_name_orig
塔關山 - 2025-08-13T211940.607.gpx,HN_Taguan_0230.gpx,HN_Taguan,3.86,3.91,638.7,639.7,1,2022/11/21,234,TRUE,TRUE,FALSE,FALSE,0,-1.820287026,0.024640619,0.230705837,塔關山 - 2025-08-13T211940.607.gpx,HN_Taguan
塔關山 (38).gpx,HN_Taguan_0127.gpx,HN_Taguan,4.19,3.94,738.8,741.8,3,2023/7/12,236,TRUE,TRUE,FALSE,FALSE,0,0.226941059,0.197458431,0.368750858,塔關山 (38).gpx,HN_Taguan
20250404塔關山.gpx,HN_Taguan_0075.gpx,HN_Taguan,3.9,3.94,747.1,743.4,3.7,2025/4/5,236,TRUE,TRUE,FALSE,FALSE,0,-0.197194718,-0.040626404,0.464722313,20250404塔關山.gpx,HN_Taguan
塔關山 (65).gpx,HN_Taguan_0150.gpx,HN_Taguan,4.49,3.95,757.1,765.1,7.9,2023/4/30,236,TRUE,TRUE,FALSE,FALSE,0,1.045720413,0.418536627,0.329018275,塔關山 (65).gpx,HN_Taguan
塔關山 - 2025-08-13T211651.454.gpx,HN_Taguan_0189.gpx,HN_Taguan,4.13,3.95,781.8,788.8,7,2023/2/28,236,TRUE,TRUE,FALSE,FALSE,0,0.783710905,0.108807138,0.492688913,塔關山 - 2025-08-13T211651.454.gpx,HN_Taguan
塔關山 - 2025-08-13T212028.492.gpx,HN_Taguan_0244.gpx,HN_Taguan,4.55,3.96,950.3,958.5,8.1,2022/10/9,237,TRUE,TRUE,FALSE,FALSE,0,3.981275878,0.312045364,0.767469829,塔關山 - 2025-08-13T212028.492.gpx,HN_Taguan
塔關山 - 2025-08-13T211812.565.gpx,HN_Taguan_0211.gpx,HN_Taguan,4.35,3.96,806.8,811.5,4.8,2023/1/14,237,TRUE,TRUE,FALSE,FALSE,0,1.510229576,0.263037515,0.482076351,塔關山 - 2025-08-13T211812.565.gpx,HN_Taguan
0910塔關山.gpx,HN_Taguan_0003.gpx,HN_Taguan,3.74,3.96,650.6,655,4.3,2022/9/10,237,TRUE,TRUE,FALSE,FALSE,0,-1.825804379,-0.108863325,0.292650492,0910塔關山.gpx,HN_Taguan
2023_02_11塔關山.gpx,HN_Taguan_0072.gpx,HN_Taguan,3.94,3.98,742.9,745.9,3,2023/2/11,238,TRUE,TRUE,FALSE,FALSE,0,-0.140586848,-0.028505106,0.44720869,2023_02_11塔關山.gpx,HN_Taguan
塔關山 (55).gpx,HN_Taguan_0141.gpx,HN_Taguan,4.26,3.99,761.6,759.5,2.1,2023/6/19,239,TRUE,TRUE,FALSE,FALSE,0,0.644416462,0.212595955,0.388060412,塔關山 (55).gpx,HN_Taguan
塔關山 - 2025-08-13T212004.251.gpx,HN_Taguan_0236.gpx,HN_Taguan,3.82,3.99,669.3,662.8,6.4,2022/8/6,239,TRUE,TRUE,FALSE,FALSE,0,-1.49402593,-0.069720807,0.293653769,塔關山 - 2025-08-13T212004.251.gpx,HN_Taguan
塔關山 (51).gpx,HN_Taguan_0138.gpx,HN_Taguan,4.65,4.01,808.5,796.9,11.6,2023/6/23,240,TRUE,TRUE,FALSE,FALSE,0,1.930530179,0.485063959,0.367304836,塔關山 (51).gpx,HN_Taguan
